client,server,datasource,graph
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,2,0 0,3,0 0,4,1 0,6,0 0,8,0 0,9,0.5 0,10,0 0,13,351 0,14,0.879406 2,0,478.627 2,3,18 2,4,247 2,6,509.8 2,8,523 2,9,498.5 2,10,505.5 2,13,393 2,14,484.228 3,0,505.172 3,2,21 3,4,248.5 3,6,531.2 3,8,544 3,9,520 3,10,527.125 3,13,415 3,14,507.209 4,0,174.946 4,2,18 4,6,35.2 4,8,48 4,9,24 4,10,31.125 4,13,412 4,14,173.061 6,0,5.98444 6,8,3 6,9,6.5 6,10,5.85714 6,14,5.59236 8,0,11.3214 8,6,12 8,10,12 8,14,11.6667 9,0,9.97156 9,6,13.25 9,8,17 9,10,13.3333 9,14,9.31111 10,0,4.97849 10,6,4.2 10,8,14 10,9,2.5 10,14,4.39233 13,0,92.2389 13,4,80 13,6,116.2 13,8,129 13,9,105 13,10,112 13,14,92.0987 14,0,0.325635 14,2,13.6667 14,3,19 14,4,10.5 14,6,0 14,8,0 14,9,0 14,10,0 14,13,434"
192.168.1.149:57100,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,2,0 0,3,0 0,4,1 0,6,1.1 0,10,0 0,11,352 0,13,11.2 0,14,1.44872 2,0,569.522 2,3,17 2,4,282 2,6,600.4 2,10,585.6 2,11,394 2,13,569 2,14,576.89 3,0,597.23 3,2,21 3,4,284 3,6,621.7 3,10,606.8 3,11,415 3,13,590 3,14,600.13 4,0,126.833 4,2,18 4,6,55.5 4,10,40.6 4,11,413 4,13,136.8 4,14,106.546 6,0,4.32424 6,10,4.25 6,13,3.25 6,14,4.1007 10,0,11.482 10,6,11.4 10,13,8.75 10,14,10.1637 11,0,184.12 11,4,150 11,6,205.8 11,10,191.2 11,13,174.2 11,14,184.351 13,0,18.6369 13,4,54 13,6,18.5 13,10,16.4 13,14,19.4306 14,0,0.514218 14,2,13 14,3,18 14,4,10 14,6,0 14,10,0 14,11,434 14,13,9.6"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,1,0 0,4,8 0,5,0 0,6,0.636364 0,7,3 0,9,0 0,10,0.166667 0,11,67 0,13,5.28571 0,14,0.892361 1,0,30.5303 1,6,31.25 1,7,23 1,10,28 1,13,26.5 1,14,26.4848 4,0,40.0457 4,1,47 4,5,61 4,6,41 4,7,71 4,9,51 4,10,33.5 4,11,175 4,13,59.5 4,14,46.2395 5,0,102.035 5,1,114 5,4,66 5,6,111.444 5,7,137 5,10,103.5 5,13,103 5,14,103.544 6,0,29.2798 6,1,5 6,4,159 6,5,55 6,7,29 6,9,132 6,10,89.5 6,11,133.5 6,13,30.8333 6,14,65.0273 7,0,7.91935 7,6,7.5 7,10,5 7,13,8 7,14,5.70787 9,0,288.176 9,1,319 9,4,207 9,5,205 9,6,299.8 9,7,343 9,10,276.4 9,11,123 9,13,288 9,14,277.154 10,0,18.1807 10,1,2 10,4,134.5 10,5,58 10,6,10 10,7,26 10,9,0 10,11,124 10,13,33 10,14,34.3968 11,0,158.386 11,1,196 11,4,79 11,5,81 11,6,176.5 11,7,219 11,9,121 11,10,147.5 11,13,165 11,14,146.359 13,0,48.508 13,1,7 13,4,130 13,5,16 13,6,37.6364 13,7,2 13,9,135 13,10,76.5 13,11,135.5 13,14,67.1652 14,0,0.630769 14,1,0 14,4,7.33333 14,5,0 14,6,0 14,7,0 14,9,0 14,10,0 14,11,67 14,13,5.14286"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0 0,9,0 0,10,0 0,14,0.031185 6,0,25.8671 6,9,26.5 6,10,35.5 6,14,25.8726 9,0,7.5799 9,6,9.5 9,10,8.33333 9,14,7.6193 10,0,3.38443 10,6,4 10,9,3 10,14,3.46076 13,0,38.514 13,6,36.5 13,9,35.75 13,10,45.4 13,14,38.4865 14,0,0 14,6,0 14,9,0 14,10,0"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,2,1 0,4,0 0,6,0 0,10,0 0,11,665 0,12,0 0,13,0 0,14,1.39464 2,0,178.48 2,4,390.5 2,6,176.6 2,10,178.2 2,11,750 2,12,41 2,13,25.5 2,14,223.095 4,0,71.1967 4,6,14 4,10,16 4,11,740 4,12,31 4,13,16 4,14,67.6101 6,0,79.9495 6,2,4 6,4,375.5 6,10,110.429 6,11,715 6,12,6 6,13,4.25 6,14,106.795 10,0,62.1186 10,2,18 10,4,379.5 10,6,7.5 10,11,709 10,12,0 10,13,7.75 10,14,74.499 11,0,22.9808 11,4,21 11,6,27 11,10,24 11,14,23.5233 12,0,719.132 12,4,731 12,6,736 12,10,733 12,11,709 12,14,732.686 13,0,125.564 13,2,3 13,4,376.5 13,6,113.571 13,10,155.6 13,11,718 13,12,9 13,14,165.454 14,0,0.0951327 14,2,0 14,4,0 14,6,0 14,10,0 14,11,709 14,12,0 14,13,0"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,3,0 0,4,1 0,6,0 0,7,0 0,10,0 0,13,224.375 0,14,1.48653 3,0,2504.26 3,4,2490 3,6,2520.27 3,7,2262 3,10,2516 3,13,2375.14 3,14,2514.16 4,0,26.737 4,6,29.5455 4,10,25.3333 4,13,23.2 4,14,25.584 6,0,283.161 6,3,4 6,4,2494 6,7,2267 6,10,359.714 6,13,582.714 6,14,318.764 7,0,252.129 7,4,227 7,6,257.273 7,10,253 7,13,210 7,14,252.155 10,0,179.126 10,3,1 10,4,2492 10,6,5.72727 10,7,2264 10,13,583.857 10,14,218.593 13,0,36.7694 13,3,7 13,4,220 13,6,24.25 13,7,474 13,10,37.2857 13,14,39.6807 14,0,4.904 14,3,0 14,4,1 14,6,0 14,7,0 14,10,0 14,13,224.375"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,1,0 0,2,0 0,4,0 0,5,0 0,6,0.142857 0,9,0 0,10,0.5 0,11,64 0,13,120.667 0,14,0.436945 1,0,547.23 1,2,78.5 1,4,374.5 1,6,654.714 1,9,688 1,10,666.5 1,11,80 1,13,607 1,14,507.629 2,0,418.172 2,4,217.5 2,6,497.429 2,9,531 2,10,509.333 2,11,79 2,13,449.333 2,14,390.677 4,0,78.3855 4,6,63.4286 4,9,97 4,10,75 4,13,159.667 4,14,84.8695 5,0,573.615 5,1,27 5,2,106 5,4,402.5 5,6,682.429 5,9,716 5,10,694.167 5,11,108 5,13,634.333 5,14,535.389 6,0,6.37638 6,9,14 6,10,6.83333 6,13,7 6,14,7.37647 9,0,6.42105 9,6,6 9,10,3 9,14,3.85714 10,0,4.13265 10,6,3.6 10,9,11 10,14,4.4684 11,0,468.909 11,2,76 11,4,293.5 11,6,573.714 11,9,607 11,10,585.5 11,13,526 11,14,426.663 13,0,23.7462 13,4,27 13,6,28.5714 13,9,48 13,10,26 13,14,27.702 14,0,1.16256 14,2,0 14,4,0 14,6,0 14,9,0 14,10,0 14,13,135.667"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,2,0 0,6,0 0,10,0 0,13,0 0,14,0.0165289 2,0,29.1872 2,6,34 2,10,20.4 2,13,19.25 2,14,29.7657 6,0,2.22102 6,10,1.33333 6,13,1.5 6,14,2.23706 10,0,7.83956 10,6,9.8 10,13,6 10,14,8.18121 13,0,7.78767 13,6,8.9 13,10,5 13,14,7.93039 14,0,0 14,2,0 14,6,0 14,10,0 14,13,0"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0 0,9,0 0,10,0 0,12,0 0,13,0.2 0,14,0.0400844 6,0,3.56328 6,9,4.5 6,10,2.6 6,12,5 6,13,3.8 6,14,3.66316 9,0,9.30481 9,6,10 9,10,7.6 9,12,2 9,13,4 9,14,9.47126 10,0,8.62633 10,6,8.90909 10,9,17 10,12,2 10,13,11 10,14,8.71749 12,0,10.0245 12,6,7.2 12,9,19 12,10,12.5 12,13,2 12,14,10.1579 13,0,5.21026 13,6,4 13,9,10.5 13,10,8.8 13,12,6 13,14,5.25474 14,0,0.00400802 14,6,0 14,9,0 14,10,0 14,12,0 14,13,0.2"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,4,0 0,6,0 0,9,0.333333 0,10,0 0,13,28 0,14,0.0833333 4,0,1.46667 4,10,3 4,14,1.57143 6,0,22.254 6,4,186 6,9,12.3333 6,10,37.875 6,13,48.75 6,14,28.4253 9,0,31.3729 9,4,185 9,6,19 9,10,36.4286 9,13,77 9,14,41.0164 10,0,20.7389 10,4,186 10,6,4.57143 10,9,6 10,13,54.25 10,14,26.6913 13,0,18.6366 13,4,21 13,6,21.75 13,9,10.6667 13,10,15.875 13,14,17.4418 14,0,0.336245 14,4,0 14,6,0 14,9,0.333333 14,10,0 14,13,27.4"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0 0,9,0 0,10,0 0,13,0 0,14,0.021978 6,0,2.37654 6,9,2 6,10,2.57143 6,13,2 6,14,2.57674 9,0,14.1833 9,6,17 9,10,14 9,13,13.5 9,14,14.2511 10,0,5.25172 10,6,5.41667 10,9,6 10,13,5.6 10,14,5.30199 13,0,6.67197 13,6,7 13,9,12 13,10,7 13,14,6.73 14,0,0 14,6,0 14,9,0 14,10,0 14,13,0"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,1,0 0,4,0 0,6,0 0,10,0.25 0,13,0 0,14,0.0255102 1,0,7.79839 1,6,3 1,10,10.3333 1,14,7.83193 4,0,8.78621 4,1,2 4,6,5 4,10,12.6667 4,14,8.83453 6,0,4.16164 6,1,7 6,4,5 6,10,4.125 6,13,2 6,14,3.61722 10,0,4.33711 10,1,3 10,4,1 10,6,5.66667 10,13,5 10,14,4.73473 13,0,10.2328 13,1,11 13,4,8 13,6,6.7 13,10,11.75 13,14,8.52715 14,0,0.00259067 14,1,0 14,4,0 14,6,0 14,10,0.125 14,13,0"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,4,1 0,6,0 0,9,0 0,10,0 0,13,25.2 0,14,0.238384 4,0,29.2506 4,6,16.6667 4,9,55 4,10,30.2 4,13,48.5 4,14,28.3929 6,0,4.69398 6,9,11 6,10,7.25 6,13,7.75 6,14,4.84406 9,0,0 9,14,0.461538 10,0,6.49883 10,6,7.77778 10,9,5 10,13,3.5 10,14,6.40845 13,0,100.046 13,4,131 13,6,129.444 13,9,0 13,10,92.2 13,14,101.03 14,0,0.312629 14,4,1 14,6,0 14,9,0 14,10,0 14,13,25.2"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0.0833333 0,10,0 0,13,0 0,14,0.0287356 6,0,3.19634 6,10,3.25 6,13,3.33333 6,14,3.02766 10,0,12.9817 10,6,13.25 10,13,14.8333 10,14,12.7175 13,0,4.85662 13,6,5.33333 13,10,7.5 13,14,5.42192 14,0,0 14,6,0 14,10,0 14,13,0"
